4,3,4,-1,0,28,26,11,
-4,1,16,16,7,-6,-5,-4,
0,-3,0,-14,-9,4,0,1,
-2,-2,-7,-5,-3,17,6,-1,
-3,-3,-10,-10,0,-19,-13,-12,
-3,-2,-4,-4,7,26,7,-2,
3,3,5,-2,5,13,29,-1,
-1,-2,0,1,2,9,11,2,
2,6,11,-1,-2,7,-2,0,
2,2,-3,-10,-11,-2,3,3,
1,1,-4,-2,2,0,5,1,
0,1,14,4,8,1,2,-1,
0,-1,4,4,1,-1,-3,-7,
0,-1,3,3,1,9,-5,3,
2,0,-2,1,4,-4,3,2,
2,-2,-5,1,2,31,17,5,
-1,0,-1,-2,-1,15,10,1,
-1,-5,-3,-9,-16,0,6,-1,
-1,-4,-2,-4,3,8,6,8,
-2,-5,-3,0,-3,-36,-25,0,
1,4,5,-9,0,-36,-10,-1,
-5,-4,-4,-4,-2,-16,-11,-14,
-1,2,-3,-3,-7,12,3,-2,
1,-2,0,-1,2,12,6,1,
1,8,20,-5,1,-27,-3,1,
-1,2,-2,-7,-3,-12,2,1,
0,2,12,14,-3,12,7,0,
-2,-4,-4,-2,2,-8,7,-3,
0,-4,-7,-9,-4,-2,1,1,
1,2,2,-3,-1,9,6,2,
0,0,-4,-8,-19,6,-9,-2,
-4,-5,-11,-4,6,-18,-9,-8,
-2,-4,-8,-3,5,-24,-2,2,
0,-2,4,5,-18,-13,-2,-1,
-1,2,2,-9,-6,3,5,2,
-1,-1,4,-9,-7,0,-7,-10,
4,2,-2,0,18,5,3,4,
-3,-3,-5,-1,0,5,9,-7,
-1,-6,-8,-7,-7,4,-1,-3,
-2,-3,3,5,-5,3,-8,-3,
0,-4,-10,-11,-8,4,6,1,
2,-3,2,8,0,8,9,4,
-3,-2,-9,0,1,-11,-9,-3,
-3,-4,1,-3,1,-4,4,-2,
0,-2,8,6,0,-10,-14,3,
-3,1,-1,-11,-10,-2,-6,-3,
0,-2,-2,-3,-1,-15,-19,-1,
1,2,5,7,9,10,13,7,
0,-1,-4,-4,4,5,-1,-4,
-4,-7,-9,-1,-2,5,3,-1,
0,1,1,-11,8,0,0,-4,
0,1,-2,-11,-6,-4,8,2,
4,3,5,5,-13,5,3,-1,
-1,-1,6,11,21,18,3,-2,
0,-3,-8,-6,0,10,2,2,
-3,-5,-3,-11,3,0,-9,-4,
0,1,1,2,-7,-3,-17,-4,
-4,-5,-6,-2,-1,-4,-14,-5,
1,2,10,6,-7,-2,2,1,
0,0,-1,12,5,24,5,1,
-2,-3,-6,-12,2,8,3,-2,
1,1,-6,1,9,-12,-6,-1,
2,-3,-7,-14,-6,-8,-3,0,
-4,-3,-1,-8,-6,7,2,-2,
-1,-3,2,-9,-10,-4,6,4,
0,-2,-7,0,1,-8,12,1,
-1,-1,-6,-3,1,-5,-5,-1,
1,2,2,-6,2,2,4,1,
-1,0,7,17,-6,-29,-5,4,
-1,-3,-1,5,1,11,-1,-3,
-1,1,-10,2,2,0,0,3,
-1,-3,-3,-1,-2,-1,2,-5,
-2,-1,-7,-7,-5,12,2,-1,
-1,-3,-1,-4,2,0,0,1,
-3,-3,-3,-1,-4,-3,-7,-4,
1,5,17,12,-4,-1,9,2,
-2,0,1,0,1,0,-3,-2,
4,2,-6,-7,0,26,27,10,
0,0,0,2,7,3,1,3,
-2,-2,-7,-3,-6,-4,-25,-3,
-2,0,1,0,-4,-11,-16,0,
-4,1,3,-6,7,1,-1,-7,
-2,-1,3,-2,-10,-1,4,-1,
-1,-2,3,2,3,18,8,3,
2,1,0,-2,6,-9,2,1,
-1,-5,-15,-14,2,1,-8,-5,
-4,-4,-4,-5,-3,6,12,-3,
-1,4,12,6,-1,12,20,5,
-1,-5,-10,-11,-6,-22,-10,-2,
3,3,-6,-8,5,-5,15,7,
1,6,9,6,-1,12,8,4,
-5,-6,-4,1,5,-10,-2,-5,
-1,-2,1,-6,-4,-16,-13,-7,
2,-4,-4,-2,3,-9,-4,5,
2,10,14,12,-2,-26,-3,8,
-4,-7,-3,1,4,-3,-2,-3,
-6,-5,-6,-6,8,-2,-13,-2,
5,3,0,-3,-4,-1,9,4,
-1,-1,-3,-2,3,-8,-5,-4,
-3,-5,-1,8,7,14,4,-3,
-2,1,3,0,-2,-9,-6,0,
-4,-8,-16,-47,-5,-3,-4,0,
2,2,-2,0,-4,1,-1,4,
-3,-10,-3,1,6,2,5,-4,
1,4,3,10,5,3,6,4,
-1,2,12,22,-8,-4,-6,-1,
0,2,2,0,-2,20,9,1,
1,6,9,2,-3,0,1,2,
2,0,4,13,2,-5,-1,7,
-3,-4,-10,-9,-1,2,-11,-4,
0,-5,-7,-2,-4,3,7,6,
-4,-1,-3,1,6,-14,4,-2,
3,2,-1,-2,-6,4,-3,-1,
-5,-1,-1,-5,-6,-11,-10,-4,
2,4,1,-8,0,13,-1,2,
-1,-3,-6,1,0,-1,0,0,
1,-1,1,-2,-3,-8,-5,5,
-3,-7,-5,-16,-3,6,-3,-4,
-2,-2,-1,4,-3,-9,-9,-5,
-2,-1,1,4,5,9,-1,-1,
1,9,18,16,1,-3,-4,-5,
0,-2,3,7,-5,-2,0,-2,
1,-2,3,1,-17,-2,-5,-2,
-2,-1,-4,-5,4,-1,2,2,
-3,-7,-6,12,2,-3,5,1,
-3,-1,-5,-7,4,-1,4,-8,
4,2,8,5,-3,5,0,5,
1,0,-5,-3,2,-5,-3,2,
-4,-9,-13,-17,3,-4,-12,-2,
-3,-6,-4,-5,-5,-4,-2,1,
1,4,2,-10,3,5,2,-1,
-4,-4,0,0,-10,-8,-14,-7,
-1,-1,-4,-2,-8,-2,1,0,
-1,4,1,0,-1,11,14,1,
-1,-1,-2,2,2,-16,0,0,
-1,1,10,3,9,5,4,-1,
0,0,-1,1,12,3,0,0,
-1,-2,0,1,0,1,1,4,
-2,-3,1,-10,-20,-10,-10,-2,
2,2,0,-16,4,-11,-1,0,
-2,-8,-12,-6,-1,-4,-2,0,
-2,1,0,12,7,6,2,3,
-1,-7,-9,-6,-6,-12,-1,-3,
-1,-5,-9,-2,9,14,1,4,
-1,0,2,1,0,-11,-4,1,
-2,-2,-3,12,3,-10,-8,-6,
-3,-4,-2,-8,2,0,0,0,
0,-1,9,14,2,-16,-20,-2,
2,8,11,14,-1,-3,-10,-5,
-2,-1,-3,-2,5,-23,-9,-3,
-1,-2,-4,-3,3,11,-6,-2,
-6,-4,-15,-16,2,11,-3,-5,
-1,-2,2,-4,1,13,4,-4,
1,0,-1,-13,-1,7,4,3,
1,-2,-7,-7,3,2,2,8,
-3,-4,4,4,-2,-14,-2,0,
1,2,-1,3,-2,-9,-2,-3,
1,-1,-13,-25,2,6,-6,-2,
1,0,3,10,11,4,4,1,
0,6,24,18,-4,-6,-3,0,
-4,-5,-9,-17,-21,-14,0,-8,
2,-1,-3,2,15,-2,-4,2,
1,0,7,10,-5,15,5,5,
0,3,13,11,-5,-10,0,0,
-3,1,6,4,1,-5,-4,-2,
0,-1,-6,5,-2,5,2,0,
-1,-4,-10,-10,-7,-7,1,-1,
1,-1,6,0,0,-12,-2,0,
0,1,-5,-11,-6,-27,-19,-2,
-2,-2,-8,-12,-5,13,10,3,
-1,2,6,5,6,-4,-4,-6,
1,-1,1,11,4,-3,-4,1,
-2,-3,-6,-9,3,0,8,6,
-4,-1,1,4,-5,6,-1,-4,
-4,-1,-1,-5,0,1,-9,-4,
-1,-8,0,-1,0,-9,-8,0,
-3,2,3,10,-1,-4,-4,-3,
0,3,4,-3,-10,-8,-6,0,
-2,-5,-7,5,5,-7,-3,-1,
-3,-4,-7,-9,-1,-1,-2,0,
-2,-4,-3,0,-1,4,-9,-7,
0,-3,-4,-9,-5,-11,-3,6,
-3,2,13,6,-4,-15,-13,-7,
-4,-2,-1,0,3,-9,-10,-9,
1,-4,-6,-10,-11,11,2,1,
0,4,7,7,4,0,8,4,
3,8,10,18,-11,-1,4,3,
0,0,-1,-5,6,4,0,-2,
